;cod_modelo_color;cod_color_code;des_agrup_color_eng;des_fabric;des_product_category;des_product_family
1508;57079075-TM;TM;BLUE;J-JEANS;Bottoms;Trousers
1509;57099076-85;85;PINK;T-TRICOT;Tops;Tops
1510;57019214-52;52;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1511;57077701-07;07;WHITE;P-PLANA;Bottoms;Skirts
1512;57909066-99;99;GREY;K-CIRCULAR;Tops;Sweatshirts
1513;47093771-TM;TM;BLUE;J-JEANS;Bottoms;Skirts
1514;47035869-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1515;47075944-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1516;57030029-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
1517;57001057-56;56;BLUE;K-CIRCULAR;Tops;T-shirt
1518;57044017-01;01;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
1519;57094406-99;99;GREY;T-TRICOT;Tops;Cardigans
1520;57023814-99;99;GREY;T-TRICOT;Tops;Sweater
1521;57094031-56;56;BLUE;K-CIRCULAR;Tops;Tops
1522;57067728-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Jumpsuit
1523;57035803-94;94;GREY;T-TRICOT;Tops;Cardigans
1524;57067746-56;56;BLUE;P-PLANA;Accesories, Swim and Intimate;Intimate
1525;57099082-37;37;BROWN;P-PLANA;Tops;Shirt
1526;57028276-08;08;WHITE;K-CIRCULAR;Tops;T-shirt
1527;57057755-65;65;PURPLE;T-TRICOT;Bottoms;Trousers
1528;41053748-08;08;WHITE;P-PLANA;Bottoms;Trousers
1529;53000642-01;01;WHITE;J-JEANS;Bottoms;Jeans
1530;53060664-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
1531;53015711-35;35;BROWN;P-PLANA;Outerwear;Coats
1532;53070671-TN;TN;GREY;J-JEANS;Bottoms;Jeans
1533;53073708-05;05;WHITE;P-PLANA;Outerwear;Puffer coats
1534;51080804-08;08;WHITE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
1535;53030836-99;99;GREY;K-CIRCULAR;Tops;T-shirt
1536;53060569-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
1537;53013767-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
1538;53083764-02;02;WHITE;P-PLANA;Tops;Shirt
1539;53023773-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1540;53015756-92;92;GREY;T-TRICOT;Tops;Sweater
1541;53040524-09;09;WHITE;P-PLANA;Bottoms;Trousers
1542;57035903-37;37;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
1543;57005926-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1544;57079203-99;99;GREY;T-TRICOT;Bottoms;Trousers
1545;57007705-92;92;GREY;T-TRICOT;Tops;Sweater
1546;57006313-99;99;GREY;P-PLANA;Tops;Shirt
1547;67011503-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1548;47065143-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1549;47095848-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1550;47015859-06;06;WHITE;K-CIRCULAR;Tops;T-shirt
1551;47084035-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
1552;57052506-91;91;GREY;K-CIRCULAR;Tops;T-shirt
1553;57040170-88;88;PINK;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
1554;57000276-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1555;47098638-TO;TO;BLUE;J-JEANS;Bottoms;Skirts
1556;57082886-99;99;GREY;K-CIRCULAR;Bottoms;Skirts
1557;57043798-99;99;GREY;O-POLIPIEL;Outerwear;Jackets
1558;57054763-35;35;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1559;57083801-30;30;BROWN;P-PLANA;Bottoms;Skirts
1560;57050485-08;08;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1561;57063802-05;05;WHITE;T-TRICOT;Tops;Cardigans
1562;57064407-37;37;BROWN;K-CIRCULAR;Bottoms;Trousers
1563;57051174-85;85;PINK;P-PLANA;Bottoms;Trousers
1564;57026717-94;94;GREY;P-PLANA;Bottoms;Trousers
1565;57005805-91;91;GREY;T-TRICOT;Tops;Sweater
1566;57006014-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1567;57005810-09;09;WHITE;T-TRICOT;Tops;Sweater
1568;57074429-02;02;WHITE;P-PLANA;Accesories, Swim and Intimate;Intimate
1569;57005815-81;81;PINK;T-TRICOT;Tops;Sweater
1570;57087737-09;09;WHITE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
1571;57038273-01;01;WHITE;T-TRICOT;Tops;Sweater
1572;57053823-88;88;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1573;57075809-30;30;BROWN;K-CIRCULAR;Tops;Shirt
1574;57025811-43;43;GREEN;K-CIRCULAR;Tops;T-shirt
1575;57089101-95;95;GREY;T-TRICOT;Tops;Cardigans
1576;57076316-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1577;43005031-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1578;51020639-02;02;WHITE;K-CIRCULAR;Tops;Tops
1579;53040613-05;05;WHITE;T-TRICOT;Tops;Cardigans
1580;51030644-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
1581;53020675-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
1582;51033730-56;56;BLUE;P-PLANA;Outerwear;Blazers
1583;51093738-79;79;RED;K-CIRCULAR;Tops;T-shirt
1584;53033037-02;02;WHITE;P-PLANA;Tops;Shirt
1585;53045716-09;09;WHITE;T-TRICOT;Tops;Sweater
1586;53025717-91;91;GREY;T-TRICOT;Tops;Sweater
1587;53013047-01;01;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1588;53043752-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1589;53015736-02;02;WHITE;P-PLANA;Tops;Shirt
1590;53073766-99;99;GREY;O-POLIPIEL;Bottoms;Trousers
1591;53067676-30;30;BROWN;P-PLANA;Outerwear;Jackets
1592;53005738-09;09;WHITE;P-PLANA;Bottoms;Trousers
1593;53085777-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1594;57035910-07;07;WHITE;K-CIRCULAR;Tops;T-shirt
1595;47076306-TN;TN;GREY;J-JEANS;Bottoms;Skirts
1596;47036315-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1597;57020045-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1598;57012512-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1599;57040302-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
1600;57040288-01;01;WHITE;J-JEANS;Dresses, jumpsuits and Complete set;Dresses
1601;57021035-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1602;47078644-01;01;WHITE;P-PLANA;Bottoms;Trousers
1603;57084406-43;43;GREEN;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
1604;57081168-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1605;57092895-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1606;57007730-91;91;GREY;T-TRICOT;Tops;Sweater
1607;57085148-99;99;GREY;P-PLANA;Bottoms;Trousers
1608;57065803-52;52;BLUE;P-PLANA;Accesories, Swim and Intimate;Intimate
1609;57004059-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1610;57004791-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1611;57067740-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1612;57057120-20;20;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1613;57087749-TM;TM;BLUE;J-JEANS;Bottoms;Skirts
1614;57097759-01;01;WHITE;K-CIRCULAR;Accesories, Swim and Intimate;Intimate
1615;53030597-52;52;BLUE;P-PLANA;Bottoms;Trousers
1616;53070768-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1617;53050810-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1618;53063712-91;91;GREY;T-TRICOT;Bottoms;Trousers
1619;53043040-02;02;WHITE;P-PLANA;Tops;Shirt
1620;51015015-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1621;53040970-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1622;51073786-99;99;GREY;K-CIRCULAR;Tops;Sweatshirts
1623;53085772-76;76;RED;P-PLANA;Tops;Tops
1624;57047689-02;02;WHITE;P-PLANA;Tops;Shirt
1625;57018258-02;02;WHITE;P-PLANA;Tops;Shirt
1626;67040535-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1627;57029217-PL;PL;GREY;T-TRICOT;Tops;Sweater
1628;47013269-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
1629;47005921-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1630;57020033-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
1631;57050554-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
1632;57040161-TC;TC;BLUE;J-JEANS;Bottoms;Skirts
1633;57000206-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
1634;47027884-09;09;WHITE;P-PLANA;Bottoms;Trousers
1635;57040274-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1636;57010252-99;99;GREY;T-TRICOT;Tops;Tops
1637;57040295-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
1638;47056714-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1639;57040378-15;15;YELLOW;T-TRICOT;Bottoms;Trousers
1640;57074008-43;43;GREEN;K-CIRCULAR;Bottoms;Trousers
1641;57030494-52;52;BLUE;P-PLANA;Bottoms;Trousers
1642;57083804-94;94;GREY;K-CIRCULAR;Tops;Tops
1643;57085797-85;85;PINK;K-CIRCULAR;Outerwear;Jackets
1644;57025148-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
1645;57081177-81;81;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
1646;57007721-43;43;GREEN;P-PLANA;Bottoms;Trousers
1647;57023276-02;02;WHITE;T-TRICOT;Accesories, Swim and Intimate;Intimate
1648;57084426-12;12;YELLOW;T-TRICOT;Tops;Sweater
1649;57096009-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1650;57047720-40;40;GREEN;T-TRICOT;Tops;Tops
1651;57067727-37;37;BROWN;P-PLANA;Bottoms;Trousers
1652;57067120-20;20;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1653;57066026-99;99;GREY;P-PLANA;Bottoms;Trousers
1654;53020585-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1655;53090622-20;20;ORANGE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1656;53060652-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1657;43059077-05;05;WHITE;K-CIRCULAR;Tops;Tops
1658;53060757-05;05;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1659;43057045-05;05;WHITE;T-TRICOT;Tops;Sweater
1660;53060879-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1661;53090975-99;99;GREY;P-PLANA;Bottoms;Trousers
1662;53053740-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1663;53045016-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1664;51013728-08;08;WHITE;P-PLANA;Bottoms;Trousers
1665;53071044-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1666;53085735-99;99;GREY;O-POLIPIEL;Bottoms;Skirts
1667;53093771-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
1668;53005028-79;79;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1669;51055028-43;43;GREEN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1670;53033770-37;37;BROWN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1671;53085773-02;02;WHITE;P-PLANA;Tops;Shirt
1672;53025781-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1673;53025735-30;30;BROWN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1674;57095931-70;70;RED;P-PLANA;Tops;Shirt
1675;67060562-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1676;57907905-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
1677;57010004-52;52;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1678;47025869-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1679;57010632-52;52;BLUE;P-PLANA;Bottoms;Shorts
1680;57050153-52;52;BLUE;P-PLANA;Outerwear;Blazers
1681;57010720-70;70;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1682;57050312-05;05;WHITE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
1683;57050248-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1684;57083796-05;05;WHITE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
1685;57082889-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1686;57050470-88;88;PINK;P-PLANA;Bottoms;Skirts
1687;57056713-PL;PL;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
1688;57071174-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1689;57052896-88;88;PINK;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1690;57014779-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1691;57024778-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1692;57085964-99;99;GREY;P-PLANA;Bottoms;Trousers
1693;57033819-02;02;WHITE;P-PLANA;Bottoms;Skirts
1694;57055810-99;99;GREY;K-CIRCULAR;Tops;T-shirt
1695;57009099-PL;PL;GREY;K-CIRCULAR;Bottoms;Skirts
1696;57008282-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1697;57043276-46;46;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1698;57099219-99;99;GREY;P-PLANA;Bottoms;Skirts
1699;51090485-01;01;WHITE;P-PLANA;Bottoms;Trousers
1700;43015035-15;15;YELLOW;T-TRICOT;Tops;Tops
1701;51020622-02;02;WHITE;K-CIRCULAR;Tops;Tops
1702;53040548-12;12;YELLOW;T-TRICOT;Tops;Tops
1703;51090637-02;02;WHITE;K-CIRCULAR;Tops;Tops
1704;51013728-99;99;GREY;P-PLANA;Bottoms;Trousers
1705;53040628-99;99;GREY;P-PLANA;Tops;Tops
1706;51080862-99;99;GREY;P-PLANA;Bottoms;Trousers
1707;53073715-99;99;GREY;T-TRICOT;Tops;Tops
1708;53013749-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1709;53033045-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1710;53073782-TO;TO;BLUE;J-JEANS;Bottoms;Skirts
1711;53013788-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1712;53073791-99;99;GREY;K-CIRCULAR;Tops;Tops
1713;53017025-05;05;WHITE;T-TRICOT;Tops;Sweater
1714;57005653-92;92;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1715;57029202-99;99;GREY;P-PLANA;Tops;Shirt
1716;57006304-37;37;BROWN;P-PLANA;Tops;Shirt
1717;57009069-TO;TO;BLUE;J-JEANS;Bottoms;Shorts
1718;57009215-05;05;WHITE;T-TRICOT;Tops;Sweater
1719;57007896-09;09;WHITE;K-CIRCULAR;Tops;T-shirt
1720;47037826-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1721;57050305-28;28;ORANGE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
1722;57050344-TC;TC;BLUE;J-JEANS;Outerwear;Jackets
1723;57023796-65;65;PURPLE;P-PLANA;Outerwear;Blazers
1724;57001100-01;01;WHITE;J-JEANS;Bottoms;Jeans
1725;57033807-99;99;GREY;K-CIRCULAR;Bottoms;Skirts
1726;57064765-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1727;57005969-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
1728;57094024-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
1729;57073809-99;99;GREY;K-CIRCULAR;Tops;Shirt
1730;57025966-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1731;57065971-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1732;57025974-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1733;57094032-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1734;57095801-35;35;BROWN;T-TRICOT;Bottoms;Shorts
1735;57061181-56;56;BLUE;K-CIRCULAR;Accesories, Swim and Intimate;Intimate
1736;57055147-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1737;57013814-01;01;WHITE;P-PLANA;Tops;Shirt
1738;57054433-65;65;PURPLE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1739;57078274-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1740;43057751-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1741;53080520-99;99;GREY;P-PLANA;Bottoms;Trousers
1742;53020589-28;28;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1743;53070721-05;05;WHITE;T-TRICOT;Tops;Tops
1744;51093025-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
1745;53060583-52;52;BLUE;T-TRICOT;Tops;Sweater
1746;51000949-02;02;WHITE;P-PLANA;Tops;Shirt
1747;53053772-02;02;WHITE;T-TRICOT;Tops;Sweater
1748;53025746-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1749;53075739-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
1750;53015770-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1751;53097677-30;30;BROWN;P-PLANA;Bottoms;Skirts
1752;57015942-99;99;GREY;J-JEANS;Bottoms;Jeans
1753;57078629-99;99;GREY;P-PLANA;Tops;Shirt
1754;57007703-05;05;WHITE;T-TRICOT;Tops;Sweater
1755;57065913-07;07;WHITE;T-TRICOT;Tops;Sweater
1756;67060520-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1757;57069077-99;99;GREY;P-PLANA;Bottoms;Trousers
1758;47004031-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1759;47067108-88;88;PINK;P-PLANA;Outerwear;Blazers
1760;47076314-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1761;57050556-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
1762;47058631-05;05;WHITE;T-TRICOT;Bottoms;Trousers
1763;57094385-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1764;57050181-68;68;PURPLE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1765;57000259-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
1766;57040296-70;70;RED;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
1767;57040385-46;46;BLUE;P-PLANA;Bottoms;Trousers
1768;57063262-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1769;57032894-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
1770;57063799-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1771;57005970-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
1772;57053816-56;56;BLUE;T-TRICOT;Bottoms;Skirts
1773;57016019-92;92;GREY;P-PLANA;Bottoms;Shorts
1774;57096023-07;07;WHITE;T-TRICOT;Tops;Sweater
1775;57008280-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1776;53030603-02;02;WHITE;K-CIRCULAR;Tops;Tops
1777;53030650-56;56;BLUE;K-CIRCULAR;Tops;T-shirt
1778;51033705-69;69;BLUE;P-PLANA;Bottoms;Trousers
1779;53063709-56;56;BLUE;L-PIEL;Bottoms;Skirts
1780;53090800-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1781;53003722-06;06;WHITE;T-TRICOT;Tops;Sweater
1782;53045716-94;94;GREY;T-TRICOT;Tops;Sweater
1783;51085724-99;99;GREY;K-CIRCULAR;Tops;T-shirt
1784;51013050-85;85;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1785;53043786-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1786;53065737-05;05;WHITE;T-TRICOT;Tops;Sweater
1787;53025771-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1788;53025768-02;02;WHITE;K-CIRCULAR;Tops;T-shirt
1789;57025903-68;68;PURPLE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
1790;57035910-99;99;GREY;K-CIRCULAR;Tops;T-shirt
1791;57047879-78;78;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1792;57087650-49;49;GREEN;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
1793;57015938-43;43;GREEN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1794;57064754-56;56;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1795;57055930-02;02;WHITE;P-PLANA;Tops;Shirt
1796;57067888-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1797;57047697-70;70;RED;P-PLANA;Tops;Shirt
1798;47013256-TC;TC;BLUE;J-JEANS;Bottoms;Jeans
1799;47075913-09;09;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1800;47074035-08;08;WHITE;P-PLANA;Bottoms;Skirts
1801;47054426-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1802;57001030-01;01;WHITE;K-CIRCULAR;Bottoms;Skirts
1803;57012879-TN;TN;GREY;J-JEANS;Bottoms;Skirts
1804;57040313-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
1805;57023797-56;56;BLUE;T-TRICOT;Tops;Sweater
1806;57054397-50;50;BLUE;P-PLANA;Bottoms;Trousers
1807;57012897-46;46;BLUE;P-PLANA;Tops;Shirt
1808;57034407-65;65;PURPLE;T-TRICOT;Tops;Sweater
1809;57054019-01;01;WHITE;P-PLANA;Outerwear;Blazers
1810;57074417-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1811;57085792-43;43;GREEN;P-PLANA;Outerwear;Jackets
1812;57013804-56;56;BLUE;P-PLANA;Bottoms;Trousers
1813;57047750-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1814;57004061-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1815;67040394-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1816;53073028-99;99;GREY;P-PLANA;Tops;Tops
1817;53060824-46;46;BLUE;K-CIRCULAR;Tops;Cardigans
1818;53013061-30;30;BROWN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
1819;53065766-07;07;WHITE;T-TRICOT;Bottoms;Skirts
1820;53033794-99;99;GREY;P-PLANA;Tops;Shirt
1821;57095904-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1822;57005553-43;43;GREEN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1823;53173045-85;85;PINK;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1824;57055926-81;81;PINK;P-PLANA;Tops;Shirt
1825;53025026-TM;TM;BLUE;J-JEANS;Bottoms;Jeans
1826;57054754-99;99;GREY;T-TRICOT;Tops;Tops
1827;57065939-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear
1828;57018631-99;99;GREY;T-TRICOT;Tops;Sweater
1829;57075931-09;09;WHITE;T-TRICOT;Tops;Cardigans
1830;57075941-09;09;WHITE;T-TRICOT;Tops;Sweater
1831;57004387-43;43;GREEN;K-CIRCULAR;Tops;T-shirt
1832;57039207-99;99;GREY;P-PLANA;Tops;Shirt
1833;57027894-52;52;BLUE;P-PLANA;Bottoms;Trousers
1834;47095948-56;56;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves
1835;47078639-20;20;ORANGE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses
1836;57072503-50;50;BLUE;K-CIRCULAR;Tops;T-shirt
1837;57050164-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
1838;57002514-02;02;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1839;57000258-52;52;BLUE;T-TRICOT;Tops;Tops
1840;47048645-43;43;GREEN;T-TRICOT;Tops;Tops
1841;57064008-43;43;GREEN;K-CIRCULAR;Tops;Sweatshirts
1842;57092888-99;99;GREY;P-PLANA;Tops;Tops
1843;57095791-02;02;WHITE;P-PLANA;Bottoms;Trousers
1844;57095807-05;05;WHITE;T-TRICOT;Tops;Cardigans
1845;57095807-99;99;GREY;T-TRICOT;Tops;Cardigans
1846;57055809-78;78;RED;P-PLANA;Tops;Shirt
1847;57007747-02;02;WHITE;T-TRICOT;Tops;Sweater
1848;57056027-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
1849;57019112-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
1850;53060568-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
1851;51055008-99;99;GREY;P-PLANA;Outerwear;Jackets
1852;53045707-08;08;WHITE;P-PLANA;Outerwear;Puffer coats
1853;53000642-TC;TC;BLUE;J-JEANS;Bottoms;Jeans
1854;53030690-70;70;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
1855;53080749-TN;TN;GREY;J-JEANS;Dresses, jumpsuits and Complete set;Jumpsuit
