;cod_modelo_color;cod_color_code;des_agrup_color_eng;des_fabric;des_product_category;des_product_family;des_filename
544;57074007-99;99;GREY;K-CIRCULAR;Bottoms;Skirts;datathon/images/2023_57074007_99.jpg
545;57044015-05;05;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57044015_05.jpg
546;57005976-TN;TN;GREY;J-JEANS;Bottoms;Jeans;datathon/images/2023_57005976_TN.jpg
547;57065793-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2023_57065793_05.jpg
548;57025982-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57025982_99.jpg
549;57005804-43;43;GREEN;T-TRICOT;Tops;Sweater;datathon/images/2023_57005804_43.jpg
550;57006001-05;05;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_57006001_05.jpg
551;57065976-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_57065976_02.jpg
552;57087715-43;43;GREEN;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57087715_43.jpg
553;57026006-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57026006_PL.jpg
554;57033820-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_57033820_02.jpg
555;57079099-91;91;GREY;T-TRICOT;Tops;Sweater;datathon/images/2023_57079099_91.jpg
556;57079101-95;95;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57079101_95.jpg
557;53040520-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53040520_99.jpg
558;53080710-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses;datathon/images/2019_53080710_05.jpg
559;43017813-02;02;WHITE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_43017813_02.jpg
560;51013728-30;30;BROWN;P-PLANA;Bottoms;Trousers;datathon/images/2019_51013728_30.jpg
561;51063734-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2019_51063734_99.jpg
562;53090662-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses;datathon/images/2019_53090662_32.jpg
563;51083738-94;94;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_51083738_94.jpg
564;53095759-49;49;GREEN;P-PLANA;Bottoms;Skirts;datathon/images/2019_53095759_49.jpg
565;51005037-20;20;ORANGE;P-PLANA;Tops;Shirt;datathon/images/2019_51005037_20.jpg
566;53085772-02;02;WHITE;P-PLANA;Tops;Tops;datathon/images/2019_53085772_02.jpg
567;53087021-01;01;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_53087021_01.jpg
568;53047022-01;01;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_53047022_01.jpg
569;53017026-07;07;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_53017026_07.jpg
570;57007691-52;52;BLUE;T-TRICOT;Tops;Sweater;datathon/images/2019_57007691_52.jpg
571;57067891-99;99;GREY;K-CIRCULAR;Tops;Tops;datathon/images/2019_57067891_99.jpg
572;57079403-92;92;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2019_57079403_92.jpg
573;47022883-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_47022883_99.jpg
574;57040028-11;11;YELLOW;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57040028_11.jpg
575;57042001-85;85;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57042001_85.jpg
576;57000254-05;05;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57000254_05.jpg
577;57092510-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases;datathon/images/2023_57092510_99.jpg
578;57040251-50;50;BLUE;P-PLANA;Tops;Shirt;datathon/images/2023_57040251_50.jpg
579;57050336-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57050336_OR.jpg
580;57040812-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2023_57040812_99.jpg
581;47087851-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_47087851_OR.jpg
582;57001059-01;01;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57001059_01.jpg
583;57002541-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57002541_PL.jpg
584;57023805-35;35;BROWN;P-PLANA;Bottoms;Trousers;datathon/images/2023_57023805_35.jpg
585;57044410-TO;TO;BLUE;J-JEANS;Bottoms;Skirts;datathon/images/2023_57044410_TO.jpg
586;57015965-99;99;GREY;P-PLANA;Bottoms;Skirts;datathon/images/2023_57015965_99.jpg
587;57086713-92;92;GREY;K-CIRCULAR;Bottoms;Trousers;datathon/images/2023_57086713_92.jpg
588;57037712-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57037712_99.jpg
589;57075979-05;05;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2023_57075979_05.jpg
590;57005803-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2023_57005803_05.jpg
591;57033814-76;76;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57033814_76.jpg
592;57005150-56;56;BLUE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases;datathon/images/2023_57005150_56.jpg
593;57091175-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57091175_PL.jpg
594;57047720-99;99;GREY;T-TRICOT;Tops;Tops;datathon/images/2023_57047720_99.jpg
595;57056012-99;99;GREY;P-PLANA;Outerwear;Blazers;datathon/images/2023_57056012_99.jpg
596;57064434-05;05;WHITE;P-PLANA;Bottoms;Shorts;datathon/images/2023_57064434_05.jpg
597;57034434-52;52;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57034434_52.jpg
598;57007748-56;56;BLUE;T-TRICOT;Tops;Sweater;datathon/images/2023_57007748_56.jpg
599;57027739-20;20;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57027739_20.jpg
600;57016029-01;01;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2023_57016029_01.jpg
601;57019117-52;52;BLUE;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57019117_52.jpg
602;57007767-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2023_57007767_99.jpg
603;53073000-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit;datathon/images/2019_53073000_99.jpg
604;53090546-17;17;YELLOW;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53090546_17.jpg
605;53090764-01;01;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_53090764_01.jpg
606;53000886-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_53000886_99.jpg
607;53020890-01;01;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_53020890_01.jpg
608;53013715-06;06;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_53013715_06.jpg
609;51011025-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_51011025_02.jpg
610;53053763-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53053763_30.jpg
611;53091115-99;99;GREY;K-CIRCULAR;Bottoms;Skirts;datathon/images/2019_53091115_99.jpg
612;51095024-30;30;BROWN;P-PLANA;Outerwear;Blazers;datathon/images/2019_51095024_30.jpg
613;51001003-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2019_51001003_99.jpg
614;53080924-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53080924_99.jpg
615;53023046-37;37;BROWN;P-PLANA;Tops;Shirt;datathon/images/2019_53023046_37.jpg
616;53023793-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2019_53023793_99.jpg
617;53023736-07;07;WHITE;J-JEANS;Bottoms;Jeans;datathon/images/2019_53023736_07.jpg
618;57004381-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57004381_99.jpg
619;57015938-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2019_57015938_99.jpg
620;57006308-02;02;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57006308_02.jpg
621;57045132-85;85;PINK;P-PLANA;Tops;Shirt;datathon/images/2019_57045132_85.jpg
622;57057885-94;94;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57057885_94.jpg
623;57059203-35;35;BROWN;T-TRICOT;Tops;Sweater;datathon/images/2019_57059203_35.jpg
624;57069076-TO;TO;BLUE;J-JEANS;Bottoms;Trousers;datathon/images/2019_57069076_TO.jpg
625;57017898-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_57017898_05.jpg
626;47097819-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_47097819_CU.jpg
627;47097109-52;52;BLUE;P-PLANA;Accesories, Swim and Intimate;Intimate;datathon/images/2023_47097109_52.jpg
628;47087833-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_47087833_OR.jpg
629;57040721-52;52;BLUE;P-PLANA;Tops;Shirt;datathon/images/2023_57040721_52.jpg
630;57084388-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57084388_99.jpg
631;57065786-35;35;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57065786_35.jpg
632;57002888-99;99;GREY;K-CIRCULAR;Tops;Tops;datathon/images/2023_57002888_99.jpg
633;57010456-40;40;GREEN;T-TRICOT;Tops;Tops;datathon/images/2023_57010456_40.jpg
634;57054763-65;65;PURPLE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57054763_65.jpg
635;57024770-09;09;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57024770_09.jpg
636;57054404-99;99;GREY;P-PLANA;Tops;Tops;datathon/images/2023_57054404_99.jpg
637;57095982-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57095982_99.jpg
638;57025981-99;99;GREY;P-PLANA;Outerwear;Blazers;datathon/images/2023_57025981_99.jpg
639;57047724-99;99;GREY;J-JEANS;Bottoms;Jeans;datathon/images/2023_57047724_99.jpg
640;57067724-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2023_57067724_05.jpg
641;57037745-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57037745_99.jpg
642;57016029-99;99;GREY;P-PLANA;Bottoms;Trousers;datathon/images/2023_57016029_99.jpg
643;57096027-02;02;WHITE;K-CIRCULAR;Accesories, Swim and Intimate;Intimate;datathon/images/2023_57096027_02.jpg
644;57096728-CU;CU;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases;datathon/images/2023_57096728_CU.jpg
645;57058277-50;50;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57058277_50.jpg
646;67020442-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2024_67020442_PL.jpg
647;43003756-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_43003756_OR.jpg
648;41075777-09;09;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2019_41075777_09.jpg
649;51003711-01;01;WHITE;P-PLANA;Outerwear;Blazers;datathon/images/2019_51003711_01.jpg
650;51053035-08;08;WHITE;P-PLANA;Bottoms;Skirts;datathon/images/2019_51053035_08.jpg
651;53000897-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53000897_99.jpg
652;51080907-30;30;BROWN;P-PLANA;Bottoms;Trousers;datathon/images/2019_51080907_30.jpg
653;53010925-01;01;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53010925_01.jpg
654;53013757-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53013757_OR.jpg
655;53063755-TC;TC;BLUE;J-JEANS;Bottoms;Jeans;datathon/images/2019_53063755_TC.jpg
656;53095750-92;92;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit;datathon/images/2019_53095750_92.jpg
657;53023785-99;99;GREY;K-CIRCULAR;Tops;Sweatshirts;datathon/images/2019_53023785_99.jpg
658;57005131-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57005131_02.jpg
659;57085130-99;99;GREY;P-PLANA;Outerwear;Blazers;datathon/images/2019_57085130_99.jpg
660;57099204-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_57099204_99.jpg
661;67090517-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2020_67090517_99.jpg
662;57047892-94;94;GREY;K-CIRCULAR;Tops;Sweatshirts;datathon/images/2019_57047892_94.jpg
663;47032878-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_47032878_99.jpg
664;47025841-20;20;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_47025841_20.jpg
665;57040080-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57040080_08.jpg
666;57050100-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57050100_OR.jpg
667;57050121-56;56;BLUE;P-PLANA;Bottoms;Trousers;datathon/images/2023_57050121_56.jpg
668;57050163-88;88;PINK;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases;datathon/images/2023_57050163_88.jpg
669;57010735-08;08;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2023_57010735_08.jpg
670;57025956-85;85;PINK;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57025956_85.jpg
671;57046712-99;99;GREY;P-PLANA;Outerwear;Coats;datathon/images/2023_57046712_99.jpg
672;57083800-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57083800_99.jpg
673;57054763-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57054763_99.jpg
674;57004043-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57004043_01.jpg
675;57042897-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2023_57042897_99.jpg
676;57017728-50;50;BLUE;T-TRICOT;Tops;Sweater;datathon/images/2023_57017728_50.jpg
677;57067748-30;30;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57067748_30.jpg
678;57059805-02;02;WHITE;K-CIRCULAR;Outerwear;Jackets;datathon/images/2023_57059805_02.jpg
679;41030739-56;56;BLUE;P-PLANA;Bottoms;Trousers;datathon/images/2019_41030739_56.jpg
680;53090517-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2019_53090517_08.jpg
681;53090539-07;07;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_53090539_07.jpg
682;53090586-37;37;BROWN;P-PLANA;Tops;Shirt;datathon/images/2019_53090586_37.jpg
683;53060833-01;01;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_53060833_01.jpg
684;53043036-09;09;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53043036_09.jpg
685;53020929-TC;TC;BLUE;J-JEANS;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53020929_TC.jpg
686;51000943-07;07;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_51000943_07.jpg
687;53093751-79;79;RED;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2019_53093751_79.jpg
688;53081115-99;99;GREY;K-CIRCULAR;Tops;Tops;datathon/images/2019_53081115_99.jpg
689;53045767-OR;OR;WHITE;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53045767_OR.jpg
690;51085730-17;17;YELLOW;K-CIRCULAR;Outerwear;Coats;datathon/images/2019_51085730_17.jpg
691;53193794-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53193794_OR.jpg
692;57014754-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_57014754_05.jpg
693;57006306-05;05;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57006306_05.jpg
694;57037656-37;37;BROWN;O-POLIPIEL;Bottoms;Skirts;datathon/images/2019_57037656_37.jpg
695;57004390-05;05;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57004390_05.jpg
696;57025943-05;05;WHITE;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57025943_05.jpg
697;57097889-70;70;RED;P-PLANA;Tops;Shirt;datathon/images/2019_57097889_70.jpg
698;57025786-79;79;RED;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57025786_79.jpg
699;57007704-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2019_57007704_99.jpg
700;57040000-28;28;ORANGE;P-PLANA;Bottoms;Trousers;datathon/images/2019_57040000_28.jpg
701;47050151-05;05;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2023_47050151_05.jpg
702;47044027-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_47044027_05.jpg
703;57050113-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2023_57050113_02.jpg
704;57052886-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57052886_99.jpg
705;57082887-07;07;WHITE;K-CIRCULAR;Bottoms;Skirts;datathon/images/2023_57082887_07.jpg
706;57072888-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57072888_99.jpg
707;57023811-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2023_57023811_99.jpg
708;57054410-46;46;BLUE;P-PLANA;Tops;Shirt;datathon/images/2023_57054410_46.jpg
709;57073270-01;01;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit;datathon/images/2023_57073270_01.jpg
710;57015976-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57015976_99.jpg
711;57064036-08;08;WHITE;T-TRICOT;Home;Intimate;datathon/images/2023_57064036_08.jpg
712;57055799-05;05;WHITE;T-TRICOT;Tops;Cardigans;datathon/images/2023_57055799_05.jpg
713;57065803-08;08;WHITE;P-PLANA;Accesories, Swim and Intimate;Intimate;datathon/images/2023_57065803_08.jpg
714;57007749-37;37;BROWN;T-TRICOT;Tops;Sweater;datathon/images/2023_57007749_37.jpg
715;57007750-91;91;GREY;T-TRICOT;Tops;Sweater;datathon/images/2023_57007750_91.jpg
716;57089101-88;88;PINK;T-TRICOT;Tops;Cardigans;datathon/images/2023_57089101_88.jpg
717;53050580-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_53050580_05.jpg
718;53040611-02;02;WHITE;P-PLANA;Bottoms;Shorts;datathon/images/2019_53040611_02.jpg
719;53063706-37;37;BROWN;P-PLANA;Bottoms;Shorts;datathon/images/2019_53063706_37.jpg
720;53053709-70;70;RED;L-PIEL;Outerwear;Jackets;datathon/images/2019_53053709_70.jpg
721;53080828-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53080828_OR.jpg
722;51023711-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_51023711_99.jpg
723;53010944-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2019_53010944_99.jpg
724;51023739-43;43;GREEN;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_51023739_43.jpg
725;53030907-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_53030907_99.jpg
726;51013750-02;02;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2019_51013750_02.jpg
727;53085740-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53085740_01.jpg
728;53081096-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2019_53081096_32.jpg
729;51033727-30;30;BROWN;P-PLANA;Outerwear;Blazers;datathon/images/2019_51033727_30.jpg
730;51033785-20;20;ORANGE;P-PLANA;Bottoms;Trousers;datathon/images/2019_51033785_20.jpg
731;53025735-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53025735_99.jpg
732;57005907-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties;datathon/images/2019_57005907_99.jpg
733;57024753-09;09;WHITE;K-CIRCULAR;Tops;Sweatshirts;datathon/images/2019_57024753_09.jpg
734;57005935-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_57005935_OR.jpg
735;57035920-92;92;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57035920_92.jpg
736;53003794-43;43;GREEN;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_53003794_43.jpg
737;57008630-49;49;GREEN;P-PLANA;Bottoms;Trousers;datathon/images/2019_57008630_49.jpg
738;57087687-94;94;GREY;K-CIRCULAR;Tops;Sweatshirts;datathon/images/2019_57087687_94.jpg
739;57018256-94;94;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57018256_94.jpg
740;67050534-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2020_67050534_99.jpg
741;47083267-TM;TM;BLUE;J-JEANS;Bottoms;Jeans;datathon/images/2023_47083267_TM.jpg
742;47067818-01;01;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses;datathon/images/2023_47067818_01.jpg
743;57050265-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2023_57050265_05.jpg
744;57050256-99;99;GREY;T-TRICOT;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57050256_99.jpg
745;57030255-99;99;GREY;T-TRICOT;Tops;Sweater;datathon/images/2023_57030255_99.jpg
746;57000273-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57000273_OR.jpg
747;57000439-43;43;GREEN;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57000439_43.jpg
748;57013784-99;99;GREY;T-TRICOT;Tops;Cardigans;datathon/images/2023_57013784_99.jpg
749;57032888-TM;TM;BLUE;J-JEANS;Bottoms;Jeans;datathon/images/2023_57032888_TM.jpg
750;57024764-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2023_57024764_05.jpg
751;57044407-65;65;PURPLE;T-TRICOT;Tops;Cardigans;datathon/images/2023_57044407_65.jpg
752;57066714-46;46;BLUE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57066714_46.jpg
753;57083811-99;99;GREY;K-CIRCULAR;Bottoms;Trousers;datathon/images/2023_57083811_99.jpg
754;57055144-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_57055144_PL.jpg
755;57095968-99;99;GREY;O-POLIPIEL;Bottoms;Skirts;datathon/images/2023_57095968_99.jpg
756;57076714-68;68;PURPLE;K-CIRCULAR;Dresses, jumpsuits and Complete set;Jumpsuit;datathon/images/2023_57076714_68.jpg
757;57083818-70;70;RED;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57083818_70.jpg
758;57005813-94;94;GREY;T-TRICOT;Tops;Sweater;datathon/images/2023_57005813_94.jpg
759;57074783-99;99;GREY;P-PLANA;Outerwear;Blazers;datathon/images/2023_57074783_99.jpg
760;57057737-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Hats, scarves and gloves;datathon/images/2023_57057737_05.jpg
761;57026022-PL;PL;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2023_57026022_PL.jpg
762;57047744-43;43;GREEN;P-PLANA;Accesories, Swim and Intimate;Intimate;datathon/images/2023_57047744_43.jpg
763;57019106-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57019106_99.jpg
764;57049107-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57049107_99.jpg
765;57069109-99;99;GREY;K-CIRCULAR;Bottoms;Trousers;datathon/images/2023_57069109_99.jpg
766;57097124-79;79;RED;P-PLANA;Bottoms;Trousers;datathon/images/2023_57097124_79.jpg
767;43067730-99;99;GREY;P-PLANA;Tops;Shirt;datathon/images/2019_43067730_99.jpg
768;41039067-05;05;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2019_41039067_05.jpg
769;41047043-85;85;PINK;P-PLANA;Bottoms;Skirts;datathon/images/2019_41047043_85.jpg
770;53020744-28;28;ORANGE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Footwear;datathon/images/2019_53020744_28.jpg
771;53020768-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_53020768_02.jpg
772;53063713-02;02;WHITE;P-PLANA;Tops;Shirt;datathon/images/2019_53063713_02.jpg
773;53060824-99;99;GREY;K-CIRCULAR;Tops;Cardigans;datathon/images/2019_53060824_99.jpg
774;53030874-05;05;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_53030874_05.jpg
775;53003718-70;70;RED;T-TRICOT;Tops;Sweater;datathon/images/2019_53003718_70.jpg
776;53033776-OR;OR;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_53033776_OR.jpg
777;53067018-02;02;WHITE;P-PLANA;Outerwear;Jackets;datathon/images/2019_53067018_02.jpg
778;51045751-92;92;GREY;P-PLANA;Outerwear;Coats;datathon/images/2019_51045751_92.jpg
779;57025940-99;99;GREY;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57025940_99.jpg
780;57006709-06;06;WHITE;T-TRICOT;Tops;Sweater;datathon/images/2019_57006709_06.jpg
781;57018256-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_57018256_99.jpg
782;57007707-37;37;BROWN;T-TRICOT;Tops;Sweater;datathon/images/2019_57007707_37.jpg
783;57019219-99;99;GREY;K-CIRCULAR;Tops;T-shirt;datathon/images/2019_57019219_99.jpg
784;57068631-99;99;GREY;P-PLANA;Bottoms;Skirts;datathon/images/2019_57068631_99.jpg
